iter	Passed	Remaining
0	1	127
1	4	231
2	7	230
3	8	192
4	9	173
5	10	160
6	11	149
7	12	145
8	13	140
9	15	137
10	19	156
11	20	152
12	22	148
13	23	143
14	24	139
15	25	136
16	27	134
17	28	130
18	29	126
19	31	127
20	36	136
21	38	134
22	39	133
23	41	131
24	43	130
25	44	127
26	46	124
27	51	131
28	52	128
29	53	125
30	54	121
31	55	118
32	57	116
33	58	113
34	59	111
35	61	109
36	67	114
37	68	112
38	71	111
39	83	124
40	85	123
41	86	119
42	88	117
43	90	115
44	91	112
45	95	112
46	97	109
47	98	107
48	100	104
49	101	101
50	102	98
51	104	96
52	105	93
53	109	93
54	113	92
55	115	90
56	116	87
57	117	85
58	119	83
59	126	84
60	129	82
61	134	82
62	135	79
63	140	78
64	142	76
65	143	73
66	144	71
67	146	68
68	147	66
69	148	63
70	149	61
71	150	58
72	155	57
73	157	55
74	158	52
75	160	50
76	161	48
77	162	45
78	164	43
79	165	41
80	169	39
81	171	37
82	172	35
83	173	33
84	175	30
85	176	28
86	177	26
87	178	24
88	179	22
89	181	20
90	185	18
91	187	16
92	188	14
93	189	12
94	191	10
95	192	8
96	194	6
97	195	3
98	196	1
99	198	0
